timestep,demand_el,pv,wind
1,209643.3415769,0,0.10702
2,207497.2007709,0,0.074873
3,200108.0148989,0,0.055654
4,191892.6802004,0,0.065059
5,185717.3331069,0,0.085573
6,180672.7483735,0,0.096229
7,172683.5661471,0,0.11794
8,170048.1975444,0,0.15953
9,171132.8063389,0,0.23717
10,179532.7553002,0.062188,0.28515
11,189155.7737532,0.15426,0.35724
12,201026.4708567,0.16016,0.46354
13,208466.425651,0.1036,0.56932
14,207718.7378864,0.084862,0.68999
15,205443.3670963,0.052101,0.79517
16,206255.669853,0.014673,0.86893
17,217240.2184947,0,0.92278
18,232798.5854994,0,0.95895
19,237321.6349401,0,0.97963
20,232387.8187645,0,0.99052
21,224306.3294067,0,0.99626
22,219280.2060996,0,0.99859
23,223701.7176957,0,0.99933
24,213926.3924759,0,0.99923
25,201834.1582569,0,0.99874
26,192215.7551605,0,0.99845
27,187152.7090008,0,0.99779
28,184355.8029181,0,0.99735
29,184438.8793364,0,0.9969
30,182786.5816836,0,0.99637
31,180105.0595152,0,0.99481
32,191509.6056049,0,0.99304
33,207104.8954623,0,0.99142
34,222501.724987,0.047766,0.99039
35,231127.8264203,0.12973,0.98986
36,238410.8590912,0.15324,0.98947
37,241184.688391,0.12837,0.99026
38,237413.9420716,0.10443,0.99193
39,234469.3445786,0.063981,0.99271
40,235193.9555604,0.019217,0.99281
41,242730.8328427,0,0.99158
42,264196.8562598,0,0.99079
43,265950.6917572,0,0.99146
44,260283.0338866,0,0.99194
45,245578.5078477,0,0.99202
46,238849.3179655,0,0.99239
47,241553.9169168,0,0.99198
48,231372.4403186,0,0.99105
49,218135.5976697,0,0.98873
50,208761.8084717,0,0.98524
51,201492.6218705,0,0.98152
52,194421.895602,0,0.98
53,192118.8326725,0,0.97512
54,187983.4731838,0,0.96149
55,181517.3586262,0,0.94655
56,185246.5667365,0,0.94065
57,191874.2187741,0,0.93581
58,202715.6913621,0.063357,0.9057
59,213700.2400039,0.1452,0.87636
60,225649.3981692,0.13022,0.85986
61,229346.2987835,0.052762,0.87187
62,223484.7959368,0.04271,0.88404
63,219326.3596653,0.025526,0.90285
64,218684.8251018,0.0066043,0.92233
65,230273.9854545,0,0.94465
66,249824.6358941,0,0.95549
67,254873.835984,0,0.96371
68,249547.7144998,0,0.9678
69,239841.6196285,0,0.97427
70,235807.7979845,0,0.97693
71,240723.1527338,0,0.9763
72,229821.6805104,0,0.97646
73,217863.2916319,0,0.97775
74,207418.7397092,0,0.9796
75,201935.6961014,0,0.98278
76,199406.4806999,0,0.98391
77,201095.7012053,0,0.98546
78,205706.4424209,0,0.98765
79,222427.8792818,0,0.99015
80,247180.0365783,0,0.99225
81,262415.3286229,0,0.99371
82,271932.1938747,0.01319,0.9935
83,278416.7698586,0.039835,0.99284
84,283821.3524046,0.047415,0.9932
85,285838.2632266,0.038888,0.9939
86,282782.8971759,0.031488,0.9946
87,279990.6064497,0.01869,0.99482
88,278126.0023946,0.0044696,0.99465
89,283147.5103451,0,0.99386
90,300847.4027993,0,0.99291
91,299767.4093614,0,0.99168
92,294953.5924566,0,0.98756
93,281296.7523596,0,0.97564
94,273252.1858544,0,0.95063
95,269292.2099155,0,0.89537
96,256387.6729397,0,0.77284
97,245984.6592261,0,0.68626
98,236135.4883011,0,0.58396
99,229480.1441241,0,0.45925
100,225792.4742229,0,0.41573
101,227089.3894197,0,0.39466
102,233721.6568139,0,0.44267
103,252852.3098054,0,0.5154
104,281499.8280488,0,0.55825
105,295244.3599207,0,0.59368
106,298996.6448138,0.038505,0.56689
107,301895.0887412,0.10504,0.52071
108,305864.2953932,0.12442,0.53577
109,306865.8277694,0.10471,0.54674
110,305222.7608297,0.085151,0.56219
111,301142.7856199,0.052307,0.59634
112,298585.8780789,0.016081,0.60329
113,301673.5516257,0,0.61437
114,315150.3928164,0,0.67381
115,318348.8349209,0,0.74123
116,313221.1737692,0,0.82476
117,299015.1062401,0,0.89963
118,285884.4167923,0,0.94793
119,280784.4477801,0,0.96764
120,262627.6350253,0,0.97588
121,249206.1781134,0,0.97923
122,239144.7007861,0,0.96818
123,232249.3580674,0,0.96364
124,228247.8439193,0,0.96655
125,228732.4563594,0,0.95912
126,233227.8136606,0,0.9409
127,249533.8684301,0,0.90182
128,274466.0246328,0,0.84907
129,285898.2628621,0,0.77243
130,289996.6994981,0.065084,0.69315
131,294847.4392555,0.17832,0.64418
132,299712.0250825,0.22241,0.65718
133,299970.4850506,0.20579,0.71166
134,295973.5862591,0.16543,0.74100
135,291344.3836172,0.10124,0.78431
136,289456.7027792,0.033614,0.84363
137,292567.4531088,0,0.89667
138,307031.980606,0,0.94979
139,312219.6413931,0,0.97085
140,306639.6752973,0,0.9807
141,292188.9938699,0,0.98644
142,282561.3600604,0,0.99008
143,279565.9936451,0,0.99254
144,263587.6291923,0,0.99346
145,249510.7916472,0,0.99428
146,238558.5505015,0,0.99534
147,232106.2820136,0,0.9965
148,228478.6117479,0,0.99709
149,230952.4428706,0,0.99769
150,241156.9962516,0,0.99813
151,266139.9213767,0,0.99826
152,297625.8839119,0,0.99818
153,307655.0537432,0,0.99804
154,308287.3575936,0.00060963,0.99805
155,310562.7283837,0.006088,0.99812
156,313235.0198389,0.0074218,0.99831
157,312976.5598709,0.0053112,0.99846
158,310087.3466567,0.0039527,0.99843
159,306081.2171521,0.0015335,0.99838
160,304941.2240788,0,0.99828
161,305795.0650446,0,0.9981
162,320905.7424619,0,0.99796
163,324574.9509367,0,0.99793
164,320148.823984,0,0.99783
165,306182.7549967,0,0.99774
166,294173.5971959,0,0.99771
167,286858.2570291,0,0.9976
168,269818.3605647,0,0.99748
169,255418.4480596,0,0.99739
170,245320.0478797,0,0.99752
171,238083.1687746,0,0.99789
172,233121.6604595,0,0.99814
173,234907.8034529,0,0.99854
174,243616.9813046,0,0.99900
